user_address,total_debt_usd,total_collateral_usd,health_factor
0x2c4fb358eadfe01184451a74bd0a3812e3da1c08,15548240.33,19241931.70,0.9282
0x5410d09be697e57cd7c4ffa83759abed3219e020,15542702.68,16938451.18,0.8718
0x449be7d5da3415cc23576d13ed56ea0f24947095,15537164.58,17287252.48,0.8901
0x1e4535ede3ef2de03d8e9bcf466924665ea19b54,15459775.81,28738366.31,1.5429
0x2446beb3905cffbd2c5eb18f1f9c2996b05257c4,15364656.47,27003449.17,1.3709
0x2824fe10aa823bb3b2c794c0b3d0c2b6601b515a,15029196.62,15996763.50,0.8515
0xe637b85b0649e2b4477663e1d219611d1aa3c64c,15003388.58,41902687.93,2.2622
0x44e8c2451e916c87dde3977dc80f6fb8a1e33b1d,14626808.00,32301778.34,1.7722
0x2a0ada17c08fbf240e7759b044f19afc7369a868,14451933.41,19112512.32,1.0580
0x74600f1edcd794977b6848a459b0ce14c5d330e3,14380259.32,24549277.36,1.3316
0x28376b3b5e891ca9aba834e2797a63f061af1039,14246008.94,21984178.34,1.2037
0xddf725d2ebd795748dd8c6b700b7c98d1dfb8ce5,14236089.54,22741089.97,1.2574
0xf929122994e177079c924631ba13fb280f5cd1f9,14114831.51,41991040.25,2.4097
0x7974b46e7940de2c4d6458c053bdbac0bf111683,14086428.14,20801097.91,1.1670
0x04c58ee5e5fc5f56a824184c5d88e94b7ca4aa76,14016105.08,25070656.29,1.4846
0xb20fb60e27a1be799b5e04159ec2024cc3734ed7,14015427.27,32454740.47,1.8062
0xc427dcc18dc41f519263aeed1fafda7a7c8294ff,14007393.41,27188034.38,1.6110
0x26d19d19aced3d07ca08444276ef2d6caa57d193,14005202.81,25255759.81,1.4967
0xd65fdb5eb1efd6a8859e619793d25c9357948568,14001782.99,25469962.15,1.5098
0x6286b9f080d27f860f6b4bb0226f8ef06cc9f2fc,13995254.31,31232360.80,1.7619
0x8577c67e306f944d869c9ae2e5c603a162fcf7ce,13973380.34,15083486.03,0.8693
0x5c430ff6f374da12218b380d2040299ae5b6d40e,13928823.80,15414041.85,0.8300
0x62bc66de718645a1f605638132a57213119aa5e1,13855879.87,14710665.85,0.7963
0x1df2fba03a26e161bd22bef52a5cbfe34a180882,13841651.10,15027737.01,0.8686
0xc3da51cc1063b3ceb44b041fd336ef6c74291fb0,13757994.63,24387263.21,1.4712
0x858b71e1d6e421fee400994bfd918da26dfd33af,13640987.22,14988632.91,0.8241
0xfcd091e1207e467a5b23ac3bc0105e2742309d9f,13566986.14,16923063.47,0.9355
0xe64f291923dea9a996d92a2a6e6b5e788ccc10a4,13512542.82,14468449.92,0.8031
0x08c14b32c8a48894e4b933090ebcc9ce33b21135,13507475.65,15172647.70,0.8425
0xbf7ea95ab6f509b3b446c4d96a06d68a5c6e35ee,13399914.64,84748487.59,5.2494
0x666073af75b8d2e6e9efea414db566494e61aafe,13210211.11,28249402.11,1.7749
0x1e2799e0071e535468097e04ad23b9fe3ae5a6a5,13178803.85,14788855.63,0.8949
0x941ad3ebd8321797b9b53a87ade232e5d85973d1,13144588.89,36604983.53,2.1721
0x4debdd6cee25b2f931d2fe265d70e1a533b02453,13103937.69,30101104.49,1.8201
0x487828727cc97172205faeb8d15b3ee5d9924599,12993929.37,21399554.31,1.2352
0xb7fb2b774eb5e2dad9c060fb367acbdc7fa7099b,12973344.34,28030446.11,1.7365
0xe094a22330b1eb7d69bb6342a63c59c07c1a5b4c,12936790.10,42617391.02,2.6684
0xf897450613f4b581ce3e3d87f04fcf9dc55c7354,12873448.98,15745287.68,0.9785
