user_address,symbol,amount,amount_usd,price_usd
0x9c0a628ffac8c01eae0f646d4ca364778abc342f,USDe,12018092.797430255000000000,12008908.45,0.99923579
0xbb4d7da70e53e9921ec2cd33a90ee5b822f44e54,WETH,4210.146166003052000000,11893405.80,2824.93892778
0xfad075025424f08e06037a9b18dc5f9941021053,USDT,11858861.690479000000000000,11858786.15,0.99999363
0x6a1f4f0ad047c7050f7ddc0563c0aad3931c4771,WETH,4145.748833458865000000,11711487.26,2824.93892778
0x24d5c7337b70f3702bf0e770401822c9d95beae6,USDT,11700003.187510000000000000,11699928.66,0.99999363
0x33c0b106c459d86841e96d58db211ae8554132d2,USDC,11672191.203008000000000000,11668812.57,0.99971054
0xb907d8ffd28be854a75580adebc2af4063d0dd92,USDT,11648418.692819000000000000,11648344.49,0.99999363
0x399b610e64cfc26988b3a476b438a5f73976ca70,USDT,11573022.568994000000000000,11572948.85,0.99999363
0xfe99cc4664a939f826dbeb545c1aad4c89ee737a,wstETH,3340.236282613637000000,11515076.55,3447.38382951
0x5f23d9789dd2cd64512f8c40fd50be0c2a6927b4,USDT,11488252.751687000000000000,11488179.57,0.99999363
0x51ab7dfcd47283dfbcee6f0a15d25053825f4eaf,USDT,11436810.539960000000000000,11436737.69,0.99999363
0xa9f86d9eaf339305cd36e76bc0de7ac5b024f075,USDe,11428219.197953291000000000,11419485.64,0.99923579
0x965cc423e416827efc108e64103f7ea727c5a1ce,USDC,11414448.399273000000000000,11411144.37,0.99971054
0x415f04fb06abd3ec6ed32452f8318504ecdc322b,WETH,4027.749413009767000000,11378146.11,2824.93892778
0xeadc152ac1014ace57c6b353f89adf5faffe9d55,USDC,11341046.731204000000000000,11337763.95,0.99971054
0x517ce9b6d1fcffd29805c3e19b295247fcd94aef,USDC,11274608.641263000000000000,11271345.09,0.99971054
0x2155287d8379b3254f64053b517641d512e99862,USDT,11255207.471706000000000000,11255135.78,0.99999363
0x2ac7908bd818982373f45fe1e5a6fb3c676fee1d,USDC,11195038.725939000000000000,11191798.21,0.99971054
0x25d2477f89fb29f6956c45d4dfda9d29eb187f4e,USDT,11131052.782236000000000000,11130981.88,0.99999363
0xbc38b5975efd7330ee3db7e85eb46135f6b36913,USDT,11085115.522656000000000000,11085044.91,0.99999363
0x8af700ba841f30e0a3fcb0ee4c4a9d223e1efa05,USDC,11079977.525630000000000000,11076770.32,0.99971054
0x36aab712e7e6820608d5c974d6f9a615ecfd46db,USDT,11000000.000001000000000000,10999929.93,0.99999363
0xa62cc2971ec8b42fd91bd6312f5962fdd5a7fc56,wstETH,3187.920918125252200000,10989987.02,3447.38382951
0xf11f844bc13e7912b78f0ee8b8168f8ef32be22d,DAI,10494293.093918644000000000,10489875.00,0.99957900
0x935ad0fbea9572bb24138f23a69e314f0bdbddbe,USDT,10249419.465933000000000000,10249354.18,0.99999363
0x7974b46e7940de2c4d6458c053bdbac0bf111683,USDT,10225297.740206000000000000,10225232.61,0.99999363
0x08c14b32c8a48894e4b933090ebcc9ce33b21135,USDtb,10205810.182011185000000000,10205810.18,1.00000000
0xb23e02b15bd7dc80c2c23512ad968ab2bc736f89,USDC,10146327.886450000000000000,10143390.93,0.99971054
0x1d46ce6b1d12b1ce9252034e9fb7a292db762e38,WETH,3588.090567699879000000,10136136.72,2824.93892778
0x1faa9bd9bc484cde1da5c4650483a8efe7b414c7,WETH,3579.516317025950700000,10111914.99,2824.93892778
0xd47f5a2bf688999017163f4da7f39159650d7133,USDT,10057126.549687000000000000,10057062.49,0.99999363
0x9f80c83f4555bec66b7e30c8dc65550576d0bf44,USDC,10008691.748141000000000000,10005794.63,0.99971054
0x3eeb5e43bcb9ed151a13a2cfb584a171dcb1aeba,USDT,10000000.000002000000000000,9999936.30,0.99999363
0x96f49d0e9724dfd8780fa667ac37a993f005cb94,GHO,10000000.000000000000000000,9996060.00,0.99960600
0x9297989b23c5fb2a1340c65a8c63b0c46fc721bf,USDT,9952374.846960000000000000,9952311.45,0.99999363
0x85b5bef6d57ed80cd2dcce9061e44ff6fae55d31,USDC,9900887.997400000000000000,9898022.09,0.99971054
0x5047e08c576778fffce5934ac658c80ada1fcc4c,WETH,3456.039192570809000000,9763099.65,2824.93892778
0x32809957fff30c8b837faed6730677da79ed7793,WETH,3451.017874616451500000,9748914.73,2824.93892778
